"Publication Type","Authors","Book Authors","Group Authors","Book Group Authors","Researcher Ids","ORCIDs","Book Editors","Author - Arabic","Grant Principal Investigator","Grant Co Principal Investigator","Article Title","Article Title - SciELO","Article Title - SciELO","Article Title - Chinese","Article Title - Russian","Patent Number","Patent Assignee","Source Title - Arabic","Source Title","Source Title - Korean","Book Series Title","Book Series Subtitle","Volume","Issue","Special Issue","Meeting Abstract","Start Page","End Page","Article Number","Version","Version History","DOI","Book DOI","License Name","License URI","License Description","Early Access Date","Supplement","Document Type","Publication Date","Publication Year","Abstract","Abstract - Foreign","Abstract - English Transliteration","Abstract - Foreign","Abstract - Korean","Conference Title","Conference Date","Conference Sponsor","Conference Location","Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases","180 Day Usage Count","Since 2013 Usage Count","ISSN","eISSN","ISBN","Grant Number","No of References","Cited References","Language","Advisor","Committee Member","Copyright","Degree Name","Institution Address","Institution","Dissertation and Thesis Subjects","Author Keywords","Indexed Date","UT (Unique ID)","Pubmed Id",""
"J","Guner, Pinar; Gokce, Semirhan","","","","","","","","","","Linking critical thinking disposition, cognitive flexibility and achievement: Math anxiety's mediating role","","","","","","","","JOURNAL OF EDUCATIONAL RESEARCH","","","","114","5","","","458","473","","","","10.1080/00220671.2021.1975618","","","","","SEP 2021","","Article","SEP 3 2021","2021","The purpose of this study was to investigate the interplays among the critical thinking disposition, cognitive flexibility, math anxiety and math achievement with structural equation modeling and determine the degree of the mediating effect of math anxiety in primary, middle and high schools. Within the scope, we also focused on the predicting variables of math achievement and compared the general tendency of these variables by gender, school type and grade level. The participants of the study were 1628 students from grades 4, 8 and 12. While critical thinking disposition and cognitive flexibility had a significant and positive effect both among themselves and on math achievement, math anxiety had a significant and negative effect on all these variables in the models. Although math anxiety has a partial mediating effect on math achievement at middle school and high school levels, it shows no such effect in primary school.","","","","","","","","","13","0","0","0","1","0","20","","","","","","","","","","","","","","","","","","2021-09-23","WOS:000695440600001","",""
"J","Doz, Eleonora; Cuder, Alessandro; Pellizzoni, Sandra; Granello, Federica; Passolunghi, Maria Chiara","","","","","","","","","","The interplay between ego-resiliency, math anxiety and working memory in math achievement","","","","","","","","PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG","","","","88","8","","","2401","2415","","","","10.1007/s00426-024-01995-0","","","","","JUN 2024","","Article","NOV 2024","2024","Previous research has suggested that math anxiety may contribute to poor math performance by interfering with working memory. However, only a limited number of studies investigated the mediating role of working memory in the math anxiety-math performance link in school-aged children. Unlike math anxiety, ego-resiliency is a personality resource that promotes the management of challenges and has been positively associated with math performance and negatively with anxiety. Nevertheless, there is still limited understanding regarding the specific role of ego-resiliency in math learning and how it relates to math anxiety. This study aimed to investigate conjunctly the interplay between primary school children's ego-resiliency, math anxiety, working memory, and performance on two different math tasks (i.e., arithmetic task and word problem-solving task), after controlling for general anxiety and age. The study involved 185 Italian children from grades 3 to 5. Serial multi-mediational analyses revealed that: (1) ego-resiliency has a positive indirect effect on math achievement through two paths - math anxiety, and math anxiety and working memory; (2) the study replicated previous findings showing that working memory partially mediated the relationship between math anxiety and math performance; (3) similar patterns of results were found for both math skills. The study identifies ego-resiliency as a possible protective factor in the development of math anxiety and suggests that ego-resiliency could be worth considering when designing interventions aimed at reducing negative emotions towards mathematics.","","","","","","","","","8","0","0","0","0","0","10","","","","","","","","","","","","","","","","","","2024-07-06","WOS:001257448200002","38940822",""
"J","Yu, Xiaodan; Zhou, Huimin; Sheng, Panpan; Ren, Bingqian; Wang, Yiguo; Wang, Haitao; Zhou, Xinlin","","","","","","","","","","Math anxiety is more closely associated with math performance in female students than in male students","","","","","","","","CURRENT PSYCHOLOGY","","","","43","2","","","1381","1394","","","","10.1007/s12144-023-04349-y","","","","","FEB 2023","","Article","JAN 2024","2024","Objective: Math anxiety has been shown to correlate negatively with math performance among students. It remains unclear whether this relationship differs between boys and girls. The current study aimed to examine gender differences in the link between math anxiety and math achievement in elementary and secondary school students. Methods: All students involved in the study (17,382 fourth-grade students and 11,346 eighth-grade students) completed a math-anxiety questionnaire and several math-achievement tests. Results: Math anxiety and math achievement were negatively correlated in both boys and girls. The moderating effect of gender on this correlation was significant, and the correlation was stronger in girls than in boys, regardless of grade. Conclusion: The link between math anxiety and math achievement is stronger for girls than for boys, which suggests we should pay more attention to how girls react emotionally to math.","","","","","","","","","15","0","0","0","3","0","22","","","","","","","","","","","","","","","","","","2023-03-18","WOS:000935293500002","",""
"J","Sari, Mehmet Hayri; Szczygiel, Monika","","","","","","","","","","The role of math anxiety in the relationship between approximate number system and math performance in young children","","","","","","","","PSYCHOLOGY IN THE SCHOOLS","","","","60","4","","","912","930","","","","10.1002/pits.22794","","","","","SEP 2022","","Article","APR 2023","2023","Although interest in mathematics anxiety in young children (6-11 years) has increased recently, the results of previous studies on the role of mathematics anxiety in the relationship between number sense and math performance are inconsistent. The study's main objective was to establish whether math anxiety is a mediator or a moderator in the relationship between number line estimation (NLE) and mathematical outcomes. A cross-sectional, correlational design was used. A total of 234 Turkish public primary school children (third and fourth graders) participated in the study. The following hypotheses were tested: (1) math anxiety mediates the relationship between the approximate number system (ANS) (an easier and more difficult task of ANS) and math performance (math achievement and arithmetic fluency); (2) math anxiety moderates the relationship between ANS (an easier and more difficult task of ANS) and math performance (math achievement and arithmetic fluency). The results mostly suggest no mediation effect of math anxiety between NLE and math performance in young children. The results also suggest that increases in difficulty level in NLE (increases of errors in NLE) is related to more anxiety regarding mathematics. Furthermore, moderation analyses indicated that the acuity of mental representation of numbers in high math-anxious children is a key factor contributing to math performance. Developmental aspects of the obtained results are also discussed in the paper.","","","","","","","","","3","0","0","0","0","0","7","","","","","","","","","","","","","","","","","","2022-09-24","WOS:000855476500001","",""
"J","Oh, Dajung Diana; Barger, Michael M.; Pomerantz, Eva M.","","","","","","","","","","Parents' Math Anxiety and Their Controlling and Autonomy-Supportive Involvement in Children's Math Learning: Implications for Children's Math Achievement","","","","","","","","DEVELOPMENTAL PSYCHOLOGY","","","","58","11","","","2158","2170","","","","10.1037/dev0001422","","","","","AUG 2022","","Article","NOV 2022","2022","This research examined how parents' math anxiety is associated with their controlling and autonomy-supportive involvement in children's math learning; the contribution of such involvement to children's math achievement was also evaluated. Parents (N = 562; 62% White, 21% Black; 65% with at least a bachelor's degree) of young elementary school children (M-age = 7.48 years; 50% girls) reported on their math anxiety as well as controlling and autonomy-supportive involvement in children's math learning; observations were also made. At the same time and a year later, children's math achievement was assessed. Parents with higher math anxiety were more controlling (in both parents' reports and the observations) and less autonomy supportive (only in the observations) with children who had poorer math achievement. Notably, controlling parenting (in both parents' reports and the observations) was most likely to predict lower math achievement a year later among such children. The findings suggest math-anxious parents are prone to using practices with children struggling in math that further undermine their math achievement, which can create an unconstructive cycle for children's math learning.","","","","","","","","","33","0","0","0","4","0","42","","","","","","","","","","","","","","","","","","2022-08-19","WOS:000838262900001","35951395",""
"J","Pellizzoni, Sandra; Cargnelutti, Elisa; Cuder, Alessandro; Passolunghi, Maria Chiara","","","","","","","","","","The interplay between math anxiety and working memory on math performance: a longitudinal study","","","","","","","","ANNALS OF THE NEW YORK ACADEMY OF SCIENCES","","","","1510","1","","","132","144","","","","10.1111/nyas.14722","","","","","DEC 2021","","Article","APR 2022","2022","Mathematical skills are essential to mastering everyday activities, making professional choices, and exercising citizenship in a numerate society. There is extensive evidence of the relationship between math anxiety (MA) and working memory (WM) influencing math attainment. Studies have mainly considered adult samples, however, leaving primary school children almost unexplored. This study is a first attempt to examine how the complex interplay between MA and WM affects math achievement from a developmental perspective. A total of 148 third graders were assessed with WM, general anxiety (GA), MA, and math tasks. Anxiety and WM were assessed at the beginning of the school year when children started attending grade 3, while math achievement was tested twice at the start of grades 3 and 4. The findings seem to confirm that GA has both a direct and an indirect effect (mediated by WM) on math performance in third and fourth graders. MA has a direct effect on math performance in grade 4, but only an indirect effect in grade 3, suggesting MA has a developmental trajectory, becoming stronger over time. The implications in the educational setting are discussed, pointing to the importance of a combined intervention on MA and WM.","","","","","","","","","33","0","0","0","5","1","47","","","","","","","","","","","","","","","","","","2021-12-31","WOS:000733859300001","34951707",""
"J","Wang, Yanjiao; Han, Lei; Tao, Yang; Ma, Yanyan","","","","","","","","","","Parents' rearing styles and adolescents' math achievement: the multiple mediating effect of self-control and math anxiety","","","","","","","","FRONTIERS IN PSYCHOLOGY","","","","15","","","","","","1413899","","","10.3389/fpsyg.2024.1413899","","","","","","","Article","OCT 16 2024","2024","Introduction: This cross-sectional study examined the mechanisms underlying adolescent math achievement by investigating the relationship between parents' rearing styles (including different dimensions of rearing style) and adolescent self-control, math anxiety, and math achievement based on the ecological systems theory.Method: A total of 584 junior high school students (M age=12.52) completed the Parenting Style Questionnaire, Self-control Scale, and Math Anxiety Rating Scale and provided their math test scores.Results: The rearing styles of both fathers and mothers directly predicted adolescents' math achievement. Maternal rearing style indirectly predicted adolescents' math achievement through their self-control and math anxiety; however, the indirect effect of paternal rearing style on adolescents' math achievement was not significant. After distinguishing the three dimensions of rearing styles, we found that paternal emotional warmth can increase adolescents' self-control, while maternal emotional warmth can reduce adolescents' self-control. Further, paternal overprotectiveness can directly and positively predict adolescents' math achievement, while maternal rejection and overprotectiveness can positively predict adolescents' math achievement. None of the three dimensions of rearing styles can predict math achievement through adolescents' self-control; however, they can predict math achievement indirectly through adolescents' math anxiety and the chain-mediation of adolescents' self-control and math anxiety.Discussion: Our results suggest both commonalities and differences in how paternal and maternal rearing styles, along with their three dimensions (emotional warmth, rejection, overprotection), predict adolescent math achievement. These findings highlight the importance of paternal and maternal rearing styles on adolescents' math achievement and underscore the need to examine them separately to better understand their impact.","","","","","","","","","5","0","0","0","1","0","5","","","","","","","","","","","","","","","","","","2024-12-16","WOS:001369669300001","39478802",""
"J","Carkoglu, Can; Eason, Sarah H.; Purpura, David","","","","","","","","","","Building the Parent and Child Math Anxiety Network model from empirical evidence","","","","","","","","CHILD DEVELOPMENT PERSPECTIVES","","","","17","3-4","","","115","121","","","","10.1111/cdep.12484","","","","","JUL 2023","","Article","DEC 2023","2023","Math achievement is one of the strongest predictors of academic success and career attainment. While research has focused on cognitive factors that relate to math achievement, a growing body of literature suggests that affective factors like math anxiety also relate to math achievement. The field of math anxiety has expanded to recognize that not only children's but also parents' math anxiety is related to math performance. Yet, specific mechanisms through which parents' math anxiety relates to children's math performance are not well explicated. In this article, we synthesize research on the relation between parents' math anxiety and children's math achievement, and then propose a comprehensive model (the Parent and Child Math Anxiety Network model) to demonstrate the likely pathways through which parents' math anxiety may affect children's math achievement.","","","","","","","","","20","0","0","0","4","0","26","","","","","","","","","","","","","","","","","","2023-07-28","WOS:001028926900001","",""
"J","Zuo, Haode; Wang, Lidong","","","","","","","","","","The influences of mindfulness on high-stakes mathematics test achievement of middle school students","","","","","","","","FRONTIERS IN PSYCHOLOGY","","","","14","","","","","","1061027","","","10.3389/fpsyg.2023.1061027","","","","","","","Article","APR 6 2023","2023","Research has shown that mindfulness can reduce students' negative emotions associated with high-stakes tests and thereby improve test performance. This study explored the association between mindfulness-based intervention (MBI) and high-risk math test scores of middle school students, which is noticeably slim in the domain of mathematics education, through a mediating process involving math-specific test anxiety and math self-efficacy. Using data from a sample of 45 students, age 12-13, we found empirical support for a significant positive correlation between mindfulness and middle school students' math achievement. Participants listened to a mindfulness audio every other week before a mathematics test. Weekly mathematics test scores, student group discussion data, and in-depth interview data were analyzed to explore how mindfulness affected students' mathematics test performance, which showed a statistically significant improvement after mindfulness compared to mathematics achievement without the intervention. Our results indicate that mindfulness can relieve mathematics anxiety symptoms, including physiological manifestations, test-unrelated thinking and worries, and problem-solving obstacles caused by mathematics anxiety. Also, mindfulness, especially its non-judgmental attitude, positively affects students' mathematical self-efficacy. The current research provides evidence of the mindfulness intervention's efficacy for improving middle school mathematics test performance but also identifies the complexities of implementing it with large numbers of students.","","","","","","","","","7","0","0","0","3","0","11","","","","","","","","","","","","","","","","","","2023-05-04","WOS:000972877800001","37089732",""
"J","Schaeffer, Marjorie W.; Rozek, Christopher S.; Maloney, Erin A.; Berkowitz, Talia; Levine, Susan C.; Beilock, Sian L.","","","","","","","","","","Elementary school teachers' math anxiety and students' math learning: A large-scale replication","","","","","","","","DEVELOPMENTAL SCIENCE","","","","24","4","","","","","e13080","","","10.1111/desc.13080","","","","","JAN 2021","","Article","JUL 2021","2021","A solid foundation in math is important for children's long-term academic success. Many factors influence children's math learning-including the math content students are taught in school, the quality of their instruction, and the math attitudes of students' teachers. Using a large and diverse sample of first-grade students (n = 551), we conducted a large-scale replication of a previous study (Proceedings of the National Academy of Sciences of the USA, 2010, 1860; n = 117), which found that girls in classes with highly math anxious teachers learned less math during the school year, as compared to girls whose math teachers were less anxious about math. With a larger sample, we found a negative relation between teachers' math anxiety and students' math achievement for both girls and boys, even after accounting for teachers' math ability and children's beginning of year math knowledge, replicating and extending those previous results. Our findings strengthen the support for the hypothesis that teachers' math anxiety is one factor that undermines children's math learning and could push students off-track during their initial exposure to math in early elementary school.","","","","","","","","","32","0","0","0","5","0","79","","","","","","","","","","","","","","","","","","2021-02-03","WOS:000607797800001","33382186",""
